label,scenario,role,n_similar,n_occupied,condition,repeat,p_move,prompt_n,t
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,5,sequential,0,0.3652921508170085,170,1788718533.5591903
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,5,sequential,1,0.3652921508170085,170,1788718533.9451573
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,5,sequential,2,0.3652921508170085,170,1788718534.31222
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,5,sequential,3,0.3652921508170085,170,1788718534.6787663
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,5,sequential,4,0.3652921508170085,170,1788718535.0458622
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,5,sequential,5,0.3652921508170085,170,1788718535.4134073
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,5,sequential,6,0.3652921508170085,170,1788718535.7806647
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,5,sequential,7,0.3652921508170085,170,1788718536.150874
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,5,sequential,8,0.3652921508170085,170,1788718536.5167322
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,5,sequential,9,0.3652921508170085,170,1788718536.8856232
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,5,sequential,10,0.3652921508170085,170,1788718537.251935
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,5,sequential,11,0.3652921508170085,170,1788718537.618998
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,7,sequential,0,0.4811033606533375,170,1788718537.985757
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,7,sequential,1,0.4811033606533375,170,1788718538.3520198
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,7,sequential,2,0.4811033606533375,170,1788718538.7179267
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,7,sequential,3,0.4811033606533375,170,1788718539.0851743
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,7,sequential,4,0.4811033606533375,170,1788718539.4555602
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,7,sequential,5,0.4811033606533375,170,1788718539.8283248
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,7,sequential,6,0.4811033606533375,170,1788718540.1960287
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,7,sequential,7,0.4811033606533375,170,1788718540.5830605
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,7,sequential,8,0.4811033606533375,170,1788718540.9536223
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,7,sequential,9,0.4811033606533375,170,1788718541.3200002
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,7,sequential,10,0.4811033606533375,170,1788718541.6882215
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,7,sequential,11,0.4811033606533375,170,1788718542.0555215
granite-4.2-30b-chat-grammar,political_liberal_conservative,blue,0,7,sequential,0,0.25544086860050136,170,1788718542.4430358
granite-4.2-30b-chat-grammar,political_liberal_conservative,blue,0,7,sequential,1,0.25544086860050136,170,1788718542.8156
granite-4.2-30b-chat-grammar,political_liberal_conservative,blue,0,7,sequential,2,0.25544086860050136,170,1788718543.1971242
granite-4.2-30b-chat-grammar,political_liberal_conservative,blue,0,7,sequential,3,0.25544086860050136,170,1788718543.5629547
granite-4.2-30b-chat-grammar,political_liberal_conservative,blue,0,7,sequential,4,0.25544086860050136,170,1788718543.9308605
granite-4.2-30b-chat-grammar,political_liberal_conservative,blue,0,7,sequential,5,0.25544086860050136,170,1788718544.297779
granite-4.2-30b-chat-grammar,political_liberal_conservative,blue,0,7,sequential,6,0.25544086860050136,170,1788718544.6642144
granite-4.2-30b-chat-grammar,political_liberal_conservative,blue,0,7,sequential,7,0.25544086860050136,170,1788718545.0323026
granite-4.2-30b-chat-grammar,political_liberal_conservative,blue,0,7,sequential,8,0.25544086860050136,170,1788718545.389236
granite-4.2-30b-chat-grammar,political_liberal_conservative,blue,0,7,sequential,9,0.25544086860050136,170,1788718545.756835
granite-4.2-30b-chat-grammar,political_liberal_conservative,blue,0,7,sequential,10,0.25544086860050136,170,1788718546.1243732
granite-4.2-30b-chat-grammar,political_liberal_conservative,blue,0,7,sequential,11,0.25544086860050136,170,1788718546.496129
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,8,sequential,0,0.4532448486464735,170,1788718546.8823218
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,8,sequential,1,0.4532448486464735,170,1788718547.2622395
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,8,sequential,2,0.4532448486464735,170,1788718547.6361384
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,8,sequential,3,0.4532448486464735,170,1788718548.002431
granite-4.2-30b-chat-grammar,political_liberal_conservative,red,0,8,sequential,4,0.4532448486464735,170,1788718548.3884084
